,,,中文翻譯,日文翻譯,捷克文翻譯,越文翻譯,越文例句,英文例句,日文例句,捷克文例句,中文翻譯
modal uses,deontic uses,privilege,特權,,,,,,,,
modal uses,deontic uses,franchise,特許經銷權,,,,,,,,
modal uses,deontic uses,leeway,自由度,,,,,,,,
modal uses,deontic uses,permit,允許、許可,,,,,,,,
modal uses,deontic uses,job,工作、事情、任務,,,,,,,,
modal uses,deontic uses,role,地位、職責、角色,,,,,,,,
modal uses,deontic uses,duty,責任、義務,,,,,,,,
modal uses,deontic uses,business,狀況、事務、事,,,,,,,,
modal uses,deontic uses,responsibility,責任、負責,,,,,,,,
modal uses,deontic uses,commission,委託、請求,,,,,,,,
modal uses,deontic uses,challenge,挑戰、難題,,,,,,,,
modal uses,deontic uses,mandate,授權、委任,,,,,,,,
modal uses,deontic uses,agenda,議程、日程,,,,,,,,
modal uses,deontic uses,assignment,任務、功課,,,,,,,,
modal uses,deontic uses,task,任務,,,,,,,,
modal uses,deontic uses,mission,任務、使命,任務,cílem,nhiệm vụ,"Trong một diễn tiễn khác về việc can thiệp của quân đội Mỹ tại Vùng Vịnh, một vài bài báo đã đăng một bức ảnh mô tả vệt hơi mà tàu con thoi Atlantis để lại trong nhiệm vụ phóng tên lửa đưa vệ tinh do thám quân sự vào quỹ đạo.","In another aspect of the American military involvement in the Gulf, several papers carry a photograph depicting the vapour trail of the space shuttle, Atlantis, as it blasts off on a mission to put a military spy satellite into orbit. ",アメリカ軍の湾岸戦争への関与を示す別の側面として、軍事スパイ衛星を軌道に乗せるという任務を果たすために打ち上げられたスペースシャトル「アトランティス」の蒸気の痕跡を写した写真が複数の新聞に掲載されている。,"Jako další aspekt americké vojenské angažovanosti v Perském zálivu uveřejnilo několik deníků  fotografii zachycující kondenzační stopu  raketoplánu Atlantis, jak je vypuštěn s cílem umístit vojenský špionážní satelit na oběžnou dráhu. ",在美國軍隊介入波斯灣地區的另一方面，有些報紙刊登了一張照片，描繪了太空梭亞特蘭斯號在執行將軍事間諜的衛星送上軌道的任務時，發射所留下的凝結尾跡，
modal uses,deontic uses,need,需要,必要,potřebě,sự cần thiết,Họ đề cập đến sự cần thiết của việc trao cho tổ chức những quyền lực can thiệp mới để ngăn chặn hành vi xâm lược.,They spoke of the need to give the organization new powers of intervention to deter aggression. ,彼らは、侵略を抑止するために、組織に新たな介入権を与える必要があると語った。,"Mluvili o potřebě poskytnout organizaci nové pravomoci k zásahu, aby se zabránilo agresi. ",他們提及，有需要賦予組織新的干涉的權力，來遏止侵略行為。
modal uses,deontic uses,pressure,壓力,,,,,,,,
modal uses,deontic uses,obligation,義務、責任、職責,義務,povinnost,nghĩa vụ,"Deontic: ""John có nghĩa vụ phải về nhà trước mười giờ"".",Deontic: John has the obligation to be home by ten. ,Deontic: Johnには10時までに帰宅する義務がある。,Deontic: John má povinnost být doma do deseti hodin.,義務要求上的：約翰有義務要在十點前到家
modal uses,deontic uses,requirement,需要、要求、規定,,,,,,,,
modal uses,deontic uses,imperative,急迫、緊急,,,,,,,,
modal uses,deontic uses,necessity,必要、需要,,,,,,,,
modal uses,dynamic uses,ability,能力、才能,能力,schopnost,khả năng,Khả năng hợp lý hóa các hoàn cảnh khác nhau và giải quyết vấn đề của Smith đã được hình thành ở East End of Glasgow...,Smith’s own ability to rationalize different circumstances and bring sense to problems was formed in the East End of Glasgow...,さまざまな状況を合理化し、問題に筋道を立てるというスミス自身の能力は、グラスゴーのイーストエンドで形成された...。,"Smithova vlastní schopnost racionalizace různých okolností a řešení problémů byla vytvořena v Glasgow, v jeho části East End ... ",史密斯他將各種不同情況以及問題合理化的能力，是在格拉斯哥東區形成的。
modal uses,dynamic uses,power,勢力、影響力、權力,,,,,,,,
modal uses,dynamic uses,failure,失敗,失敗,selhání,sự thất bại,"Lời nhận xét về ông ấy từ những người ở đây được cho là sự chuẩn bị cho sự thất bại đã được dự đoán trước của ông trong việc lật đổ ông Patterson, nhà lãnh đạo da đen đầu tiên ở Jamaica.","His remarks are being interpreted by many here as preparation for his expected failure to unseat Mr Patterson, Jamaica’s first black leader. ",彼の発言は、ジャマイカ初の黒人指導者であるパターソン氏を失脚させるという期待された失敗のための準備だと、多くの人が解釈している。,"Jeho poznámky byly interpretovány mnohými zde jako příprava na jeho očekávané selhání při pokusu o sesazení pana Pattersona, prvního černošského vůdce Jamajky.",他的言論在這裡被許多人解讀是，他沒能推翻牙買加的第一位黑人領導者帕特森先生，而在替預期的失敗先鋪路，
modal uses,dynamic uses,inability,無力、無能、無法,できない,neschopnosti,không có khả năng,Hầu hết các vấn đề với thị lực của chúng ta là do thủy tinh thể không có khả năng tập trung đúng tiêu điểm.,Most problems with our eyesight are caused by an inability of the lens to focus properly. ,視力の問題の多くは、水晶体が正しく焦点を合わせられないことが原因である。,Většina problémů s naším zrakem je způsobena neschopností čoček se správně zaostřit. ,大多我們視力的問題，都是由於眼球晶狀體無法適當聚焦而造成的。
modal uses,dynamic uses,capacity,職位、角色、能力,,,,,,,,
modal uses,dynamic uses,authority,權力、當局,,,,,,,,
modal uses,dynamic uses,potential,潛力、潛能、潛在能力,可能性、潜在能力,potenciálu,tiềm năng,Đại học Cambridge được cho là đã nộp đơn xin cấp sáng chế để nghiên cứu thuốc Fujisawa Pharmaceutical về tiềm năng trong việc ngăn chặn sự lây lan của HIV.,Cambridge University is said to have applied for a patent to investigate a Fujisawa Pharmaceutical drug for its potential to prevent the spread of HIV. ,ケンブリッジ大学は、藤沢薬品の医薬品がHIVの感染を防ぐ可能性を調査するために、特許を申請したと言われている。,Cambridge University údajně požádala o patent na zkoumání  léčivého přípravku Fujisawa Pharmaceutical z důvodu jeho potenciálu zabránit šíření HIV. ,據稱，劍橋大學已經申請了專利，來調查藤澤製藥是否具有潛在能力來避免愛滋病的散播。
modal uses,dynamic uses,talent,天賦、天份,,,,,,,,
modal uses,dynamic uses,opportunity,機會、時機、可能性,機会,příležitost,cơ hội,Đây thật sự là cơ hội để tập trung vào những việc khác ngoài công việc và gia đình.,It’s really an opportunity to concentrate on something different from work and home. ,まさに、仕事や家庭とは違うことに集中できる機会なのである。,Je to opravdu příležitost soustředit se na něco jiného než na práci a domov.,這真的是個能專注在除了家庭和工作以外事物上的好機會。
modal uses,dynamic uses,skill,技巧、技能,,,,,,,,
modal uses,dynamic uses,chance,機會、時機、很有可能,機会、チャンス,šance,"có khả năng, cơ hội","Epistemic: ""Có khả năng John đã ở nhà rồi"".",Epistemic: there is a good chance that John is at home already. ,認識的：Johnがすでに家にいるといういい機会がある。,"Vědomostní: je velká šance, že John je již doma. ",知識推論上的：約翰很有可能已經在家了
modal uses,dynamic uses,clout,權勢、影響力,,,,,,,,
modal uses,dynamic uses,incapacity,無力、無能,,,,,,,,
modal uses,dynamic uses,tendency,傾向、趨勢、容易,傾向,tendenci,"xu hướng, chiều hướng",Thuốc nhuộm đa năng có xu hướng bị trôi đi hoặc trở nên “không bền màu” đối với len.,Multipurpose dye has a tendency to wash out or become “non-colourfast” in wool. ,多目的染料は、ウールの中で洗い流されたり、「色落ちしない」という傾向がある。,Víceúčelové barvivo má tendenci ve vlně ztrácet barvu nebo schopnost být „stálobarevné“,多功能染劑使用在羊毛上時，容易去掉羊毛上的顏色，或是讓羊毛變得不易褪色。
modal uses,dynamic uses,propensity,傾向、嗜好,,,,,,,,
modal uses,dynamic uses,destiny,前途、命運,,,,,,,,
modal uses,dynamic uses,time,時間、時刻、時候,時期、タイミング,čas,"thời điểm, thời gian",Thời điểm tốt nhất để khuyến khích con lớn của bạn bắt đầu chăm sóc một đứa trẻ sơ sinh là trước khi bé vẫn còn trong bụng mẹ.,The best time to encourage your older child to start caring for a new baby is before the birth. ,上の子が新しい赤ちゃんの世話を始めるのを促すタイミングは、出産前が最適である。,"Nejlepší čas podnítit vaše starší dítě, aby se začalo starat o novorozené dítě, je před narozením. ",新生兒誕生之前，是鼓勵你比較年長的小孩開始照顧一個新生兒的最佳時間。
modal uses,dynamic uses,way,方向、道路、方法,方法,způsobem,"cách , cách thức",Các Đảng viên cấp cao của Đảng Cộng hòa thừa nhận rằng nền kinh tế đang làm suy yếu nhóm cử tri của họ. Một số người tin rằng cách duy nhất để giành chiến thắng là tấn công cá nhân vào ông Colinton ...,Senior Republicans admit that the economy is undermining their base of voters. Some believe the only way to win is press home personal attacks on Mr Colinton...,共和党幹部は、経済が彼らの支持基盤を弱めていることを認めている。コリントン氏への個人攻撃を押し付けるのは勝つのに唯一の方法であると考える人もいる。,"Starší republikáni připouštějí, že ekonomika podkopává jejich voličskou základnu. Někteří věří, že jediným způsobem, jak vyhrát, je útočit na Clintona ...",共和黨高層承認，經濟情況正在削弱他們的選民基礎。有些人認為，贏得勝利的唯一方法是對柯林頓進行人身攻擊。
modal uses,dynamic uses,chance,機會、時機,,,,,,,,
modal uses,dynamic uses,place,地方、地點、場所,場所,možnost,"nơi, nơi ở, nơi chốn","nơi để tạo mối liên hệ phù hợp - một hoạt động lâu nay được gọi là ""mạng lưới mối quan hệ"". - sẽ là Mạng lưới.",the place to make the right contacts—an activity long known as “networking.” – will be the Net. ,適切な人脈を作るための場所であり、つまり、古くから「ネットワーキング」として知られている活動がネットになる。,"Paradoxně moje existence jak horizontální, tak nemocné, a proto jsem neměl žádnou možnost ji nahradit, vzbudilo to nejlepší v mé matce, ... ",建立正確聯絡的地方—一項長期以來被稱為「建立人脈的活動」，將會成為「網路」。
modal uses,dynamic uses,opportunity,機會、時機、可能性,,,,,,,,
modal uses,dynamic uses,area,地區、區域、領域、方面,,,,,,,,
modal uses,dynamic uses,stage,階段、舞台,,,,,,,,
modal uses,dynamic uses,moment,時候、時刻、時機,,,,,,,,
modal uses,dynamic uses,position,處境、立場、能力,立場、位置,možnost,vị trí,"Trớ trêu thay, tôi vừa ốm lại vừa yếu và vì thế không thể thay thế vị trí của mẹ tôi mang đến những điều tốt đẹp nhất cho bà,...","Paradoxically, my being both horizontal and ill and therefore in no position to displace her brought out the best in my mother,...",逆に言えば、私が病気で横になっていて、母の代わりになる立場がなかったことが、母の良さを引き出したとも言える。,"Paradoxně moje existence jak horizontální, tak nemocné, a proto jsem neměl žádnou možnost ji nahradit, vzbudilo to nejlepší v mé matce, ... ",矛盾的是，我既躺平又生病，因而沒能力取代她，卻讓我的母親有了最好的發揮。
modal uses,dynamic uses,situation,處境、情況,,,,,,,,
modal uses,dynamic uses,possibility,可能（性）,可能性,,có khả năng,Nhưng có khả năng vài dự án vũ khí hạt nhân khổng lồ của Iraq với trị giá 10 tỷ đô la đã bị rò rỉ chương trình vũ khí hạt nhân đây là điều đáng lo ngại nhất.,But it is the possibility that some of Iraq’s vast 10 billion Dollars nuclear weapons programme has escaped which provokes the most unease.,しかし、最も不安を煽るのは、イラクの100億ドル規模の膨大な核兵器計画の一部が流出した可能性である。,"Je však možné, že unikla část z obrovského iráckého programu jaderných zbraní v hodnotě 10 miliard dolarů, což vyvolává největší neklid.",最讓人不安的是，伊拉克價值100億美元的大型核武計畫，其中有部分已經不見的可能性。
modal uses,dynamic uses,occasion,處境、情況,,,,,,,,
modal uses,dynamic uses,room,空間、室,,,,,,,,
modal uses,dynamic uses,approach,方法、方式,,,,,,,,
modal uses,dynamic uses,method,方法、方式,,,,,,,,
modal uses,dynamic uses,step,步驟、階段,,,,,,,,
modal uses,dynamic uses,region,區域、地區,,,,,,,,
modal uses,dynamic uses,space,空間、空地,,,,,,,,
modal uses,dynamic uses,scope,範圍,,,,,,,,
modal uses,dynamic uses,facility,場所,,,,,,,,
modal uses,dynamic uses,trend,趨勢、傾向,,,,,,,,
modal uses,dynamic uses,propensity,傾向、嗜好,,,,,,,,
modal uses,dynamic uses,disposition,性格、傾向,,,,,,,,
modal uses,dynamic uses,destiny,前途、命運,,,,,,,,
modal uses,dynamic uses,fate,命運,,,,,,,,
eventive uses,general uses,event,事件、事情,出来事、事件,události,sự kiện,"""Vương quốc Anh đối mặt với áp lực về con tin."". Là tiêu đề chính trên tờ FINANCIAL TIMES sau sự kiện con tin người Mỹ mới được giải thoát, Frank Reed trông thấy hai trong số những người bị bắt.","‘’The UK faces pressure on hostages.’’ Is the main headline in the FINANCIAL TIMES following the event that two of the captives... were seen...by the newly released American hostage, Frank Reed. ",解放されたばかりのアメリカ人人質、フランク・リードが捕虜の2人を目撃したという出来事を受けて、「イギリスは人質への圧力に直面している」はFINANCIAL TIMESに掲載された主要な見出しである。,"„„ Spojené království čelí tlaku na rukojmí. “„ To je hlavním titulkem FINANCIAL TIMES po události, kdy nově propuštěný americký rukojmí Frank Reed …... uviděl..... dva ze zajatců …  ",在發生了兩名俘虜被剛獲釋的美國人質法蘭克・里德看見的這個事件後，《金融時報》的主要標題寫道：「英國在人質問題上正面臨壓力。」
eventive uses,general uses,position,位置、處境,立場,pozici,vị trí,Tôi đang ở một vị trí may mắn nơi trở thành tiêu chuẩn mỗi khi tôi làm những điều khác biệt.,I’m in the fortunate position where it’s become the norm for me to do something different each time. ,私は幸運な立場にあり、毎回違うことをするのが当たり前になっている。,"Jsem ve šťastné pozici, kdy se pro mě stalo normou pokaždé dělat něco jiného. ",我的處境很幸運，已經變成常態性的，每次都能做些不同的事情。
eventive uses,general uses,situation,處境、情況,状況,situaci,"tình huống,vị trí",Hiện tại chúng ta có một tình huống khi mà liệu pháp tan huyết khối được chấp nhận và được thực hành rất rộng rãi.,We now have a situation where thrombolytic therapy is very widely accepted and very widely practiced. ,現在では、血栓溶解療法が非常に広く受け入れられ、実践されている状況である。,"Nyní máme situaci, kdy trombolytická terapie je  široce přijímána a široce používána. ",我們現在的情況是，血栓溶解治療非常廣泛的被接受及使用。
eventive uses,general uses,change,改變、變化,,,,,,,,
eventive uses,general uses,action,行動、行為、步驟,行動,akci,"bước, hành động",Bước đầu tiên là che chắn con tàu lại và dỡ bỏ boong tàu.,The first action was to place the vessel under cover and remove the deckhouse. ,最初の行動は、船を覆いの下に置き、デッキハウスを取り除くことだった。,První akcí bylo umístění plavidla pod kryt a odstranění paluby. ,第一個步驟是把船蓋住，然後把甲板室移走。
eventive uses,general uses,act,行動、行為,行動,činem,hành động,"Hành động đầu tiên của Gillies là sa thải luật sư của tổ chức, Ed Hayes.",Gillies’ first act was to fire Ed Hayes as lawyer for the foundation. ,ギリーズが最初にとった行動は、財団の弁護士であるエド・ヘイズを解雇することだった。,"Gilliesovým prvním činem bylo, že vyhodil Eda Hayese jako právníka nadace. ",吉利斯的第一個行動是把基金會的律師艾德・海耶斯給解雇了。
eventive uses,general uses,situation,處境、情況,状況,situaci,tình trạng,"Nếu một giai cấp nhận thức được thế mạnh của mình, thì tất thiết sẽ nghĩ các ý tưởng có xu hướng tạo ra và duy trì tình trạng đó.","If a class is conscious of what advantage it has, it will necessarily generate notions that tend to create and preserve that situation. ",ある階級が自分の持つ優位性を意識するならば、その状況を作り、維持するための概念を必然的に生み出す。,"Pokud si je třída vědoma toho, jakou výhodu má, bude nutně přicházet s teoriemi, které mají tendenci tuto situaci vytvářet a zachovávat. ",如果一個社會階級意識到它有哪個優勢，那麼就必然會傾向產生可以創造和維護那種情況的說詞。
eventive uses,specific uses,attempt,努力、嘗試,試み,snaze,"nỗ lực, cố gắng","Ngoại trưởng Anh, ông Hurd, đã thất bại trong nỗ lực khiến chính phủ Israel thay đổi ý định trong việc bác bỏ lời đề nghị cho phép một phái đoàn của Liên hợp quốc đến điều tra các vụ giết người ở Jerusalem vào tuần trước.","The British foreign secretary, Mr Hurd, has failed in an attempt to get the Israeli government to change its mind about refusing to accept a UN mission to investigate last week’s killings in Jerusalem. ",英国のハード外務大臣は、先週エルサレムで起きた殺人事件を調査する国連ミッションの受け入れを拒否しているイスラエル政府の考えを変えさせようとする試みに失敗しました。,"Britský ministr zahraničí Hurd selhal ve snaze přimět izraelskou vládu, aby změnila svůj názor, kdy odmítla přijmout misi OSN na vyšetření vražd v Jeruzalémě z minulého týdne. ",英國外交大臣赫德先生嘗試讓以色列政府改變心意，讓他們別拒絕接受聯合國調查上週在耶路撒冷發生的殺人事件，但未能成功。
eventive uses,specific uses,effort,努力、嘗試,,,,,,,,
eventive uses,specific uses,campaign,活動、運動,,,,,,,,
eventive uses,specific uses,move,活動、運動、舉動、此舉,行動,snaze,hành động,"Sau vụ tai nạn này, anh ấy đã chuyển sang đạo Do Thái. Hành động này đã gợi ra trò đùa về chính mình khi trả lời một người bạn chơi gôn, người đã hỏi anh ấy điểm bất lợi của anh ấy là gì. Anh ấy trả lời: ""Tôi là một người da đen Do Thái một mắt. Bạn còn muốn gì nữa nào?""",It was in the aftermath of this crash that he converted to Judaism. This move inspired his own joke in reply to a fellow-golfer who asked him what his handicap was. He remarked: “I’m a one-eyed Jewish negro. What more do you want.” ,この事故の後、彼はユダヤ教に改宗したのである。この改宗（行動）をきっかけに、ゴルファー仲間にハンディキャップを聞かれたとき、彼は次のようなジョークを言った。「私は片目のユダヤ人黒人だ。これ以上、何を望むんだ？」,"Britský ministr zahraničí Hurd selhal ve snaze přimět izraelskou vládu, aby změnila svůj názor, kdy odmítla přijmout misi OSN na vyšetření vražd v Jeruzalémě z minulého týdne. ",正是在這次事故後，他改信了猶太教。這個舉動使他想到了一個笑話自嘲，來回答一位高爾夫球球友問他他的缺陷是什麼的問題。他說：「我是只剩一隻眼睛的猶太黑人，你還想要什麼？」
eventive uses,specific uses,struggle,奮鬥、努力,,,,,,,,
eventive uses,specific uses,test,測驗、考驗,,,,,,,,
eventive uses,specific uses,conspiracy,陰謀、密謀、規劃,,,,,,,,
eventive uses,specific uses,plot,情節,,,,,,,,
eventive uses,specific uses,tradition,傳統,伝統,tradici,truyền thống,Trường có truyền thống giảng dạy và nghiên cứu lâu đời trong các lĩnh vực này.,The school has the well-established tradition of teaching and research in these areas. ,学校は、これらの分野における教育と研究の確立された伝統を持っている。,V těchto oblastech má škola dlouhodobou tradici ve výuce a výzkumu. ,該學校在這些領域有著公認良好的教研傳統。
eventive uses,specific uses,initiative,倡議、措施,,,,,,,,
eventive uses,specific uses,trick,詭計、訣竅、訣竅,,,,,,,,
eventive uses,specific uses,race,競爭、爭奪,,,,,,,,
eventive uses,specific uses,fight,爭吵、鬥爭,,,,,,,,
eventive uses,specific uses,measure,方法、措施,,,,,,,,
eventive uses,specific uses,quest,探索、尋求、追求,,,,,,,,
eventive uses,specific uses,rush,匆忙、忙碌,,,,,,,,
eventive uses,specific uses,ploy,計謀、策略、手法,,,,,,,,
eventive uses,specific uses,gamble,冒險、打賭,,,,,,,,
eventive uses,specific uses,crusade,運動,,,,,,,,
eventive uses,specific uses,enterprise,計畫、組織,,,,,,,,
eventive uses,specific uses,endeavour,努力,,,,,,,,
eventive uses,specific uses,venture,企業、冒險,,,,,,,,
eventive uses,specific uses,ruse,詭計、計策,,,,,,,,
eventive uses,specific uses,manoeuvre,精巧動作,,,,,,,,
eventive uses,specific uses,precaution,預防,,,,,,,,
eventive uses,specific uses,countermeasure,對策、措施,,,,,,,,
eventive uses,specific uses,tradition,傳統,,,,,,,,
eventive uses,specific uses,convention,會議、傳統、習俗,,,,,,,,
eventive uses,specific uses,custom,習俗、傳統、慣例,,,,,,,,
eventive uses,specific uses,ritual,儀式,,,,,,,,
eventive uses,specific uses,habit,習慣、習,習慣,zlozvyku,thói quen,Mỗi báo cáo mới về các ảnh hưởng của việc hút thuốc làm tăng thêm lượng lớn kiến thức khoa học và ý thức chung để phòng tránh những nguy cơ của thói quen nguy hiểm này.,Every new report on the effects of smoking adds to the weight of scientific knowledge and common sense against the perils of this dangerous habit. ,喫煙の影響に関する新しいレポートが発表されるたびに、この危険な習慣の危険性に対する科学的知識と常識の重みが増していく。,Každá nová zpráva o účincích kouření zvyšuje váhu vědeckých poznatků a zdravého rozumu před nebezpečím tohoto nebezpečného zlozvyku. ,每份關於抽菸帶來的影響的新報告，都使科學知識以及常識顯得更為重要，以對抗這個惡習所帶來的危害。
eventive uses,specific uses,option,選擇、選項,,,,,,,,
eventive uses,specific uses,priority,優先考慮,優先する,prioritou,ưu tiên,"Ưu tiên của người nghiên cứu thảo dược là kích thích cơ thể vận hành theo sự thay đổi một cách suôn sẻ nhất có thể, thay vì làm giảm triệu chứng tạm thời và chậm dựa trên dựa vào liệu pháp thay thế hormone.","The herbalist’s priority is to encourage the body to proceed with the change as smoothly as possible, rather than relying on temporary, and often delaying, alleviation of hormone replacement therapy. ",漢方医は、ホルモン補充療法による一時的な緩和に頼るのではなく、体ができるだけスムーズに変化するに促すことを優先する。,"Prioritou bylinkáře je povzbudit tělo, aby postupovalo se změnami co nejplynuleji, než aby se spoléhalo na hormonální substituční terapii, která přináší zmírnění dočasné a často s časovým odstupem . ",草藥學家的優先考量是要促進身體能跟著改變一起向前，越順利越好，而不是讓身體依賴賀爾蒙替代療法所帶來的短期、且常遲來的症狀舒緩。
eventive uses,specific uses,choice,選擇、挑選,,,,,,,,
eventive uses,specific uses,alternative,替代方法,,,,,,,,
eventive uses,specific uses,speciality,專業、專長,,,,,,,,
eventive uses,specific uses,preference,偏愛、喜好、偏袒,,,,,,,,
eventive uses,attitudinal uses,trouble,麻煩、煩惱,,,,,,,,
eventive uses,attitudinal uses,problem,問題,問題,problémem,vấn đề,"Vài năm trước, tôi có tham gia vào một dự án nhằm đo hệ số phản xạ của gương tráng kim loại. Vấn đề ở đây là để bảo vệ các vị trí rada dân sự xung quanh nước Anh không bị xâm phạm bởi hoạt động phát triển bất động sản. Ngày càng có nhiều tòa nhà được thiết kế bằng kính tráng kim loại.",Several years ago I was involved in a project aimed at measuring the reflectivity of metallized glass. The problem was to safeguard the many civil radar sites round Britain from encroachment by property development. Increasing numbers of buildings were being designed then with metallized glass. ,数年前、私は金属加工ガラスの反射率を測定するプロジェクトに参加した。英国に数多く存在する民間のレーダーサイトを、不動産開発による侵食から守るという問題があった。当時、金属ガラスを使用した建物が増えていた。,Před několika lety jsem byl zapojen do projektu zaměřeného na měření odrazivosti metalizovaného skla. Problémem bylo ochránit mnoho civilních radarových stanic v Británii před vlivem výstavby nemovitostí. Zvyšující se počet budov bylo v té době navrhovány s použitím metalizovaného skla. ,多年前我參與了一項測量金屬化玻璃反射率的計畫，要解決的問題是保護英國的民用雷達網不被地產開發公司侵佔。越來越多的建築物因此設計使用金屬化玻璃。
eventive uses,attitudinal uses,dilemma,為難、兩難,,,,,,,,
eventive uses,attitudinal uses,snag,麻煩、問題,,,,,,,,
eventive uses,attitudinal uses,difficulty,困難、問題、難題,,,,,,,,
eventive uses,attitudinal uses,success,成功、勝利,,,,,,,,
eventive uses,attitudinal uses,achievement,成就、功績,功績,úspěchem,thành tựu,"Thành tựu của Sher là tìm ra được giọng điệu tu từ phù hợp khơi dậy ý nghĩa, phẫn nộ, tự thương hại cho tất cả các hoạt cảnh âm vực cao vút khác nhau.","Sher’s achievement was to find the right rhetorical tone wheedling mean, enraged, self-pitying for all the different, high-pitched tableaux. ",シャーの功績は、様々な高音のタブローに対して、意地悪、激怒、自己憐憫などの適切な修辞的トーンを見つけ出したことである。,"Sherovým úspěchem bylo najít ten správný rétorický tón, lichotivě průměrný, rozzuřený, sebelítostní pro všechny různé výjevy s vysokými tóny. ",夏爾的成就是，為各種不同尖銳的人物設定，不管是兇惡、憤怒、自怨自艾，在修辭上都找到了一個正確的語氣。
eventive uses,attitudinal uses,improvement,改善、改進,,,,,,,,
eventive uses,attitudinal uses,triumph,勝利,勝利,úspěchem,thành công,"Thành công của nhà trường là khiến trẻ em ngồi yên, xem và đọc truyện ...","The school’s triumph is to get the children to sit still, read, recite stories...",この学校の勝利は、子供たちをじっとさせ、本を読み、物語を朗読させることだ...。,"Úspěchem školy je přimět děti, aby nehybně seděly, četly, recitovaly příběhy ... ",讓小孩們能坐好、讀書、朗讀故事，是學校的勝利。
eventive uses,attitudinal uses,coup,成功,,,,,,,,
eventive uses,attitudinal uses,innovation,創新,,,,,,,,
eventive uses,attitudinal uses,refinement,改進、改善,,,,,,,,
eventive uses,attitudinal uses,mistake,錯誤、過失,間違い,chybou,"sai lầm, sai sót","Thật sai lầm khi nghĩ rằng một người mẫu có thể trở thành một diễn viên, bởi vì hai nghề nghiệp này không có nhiều điểm chung.","It’s a mistake to think a model can be an actress, because the two professions don’t have much in common. ",モデルが女優になれると思うのは間違いで、この2つの職業にはあまり共通点がない。,"Je chybou si myslet, že modelka může být herečkou, protože obě profese nemají mnoho společného. ",想著模特兒可以成為一位演員是個錯誤，因為這兩個職業彼此沒有太多相關性。
eventive uses,attitudinal uses,crime,犯罪、罪行,罪,zločínem,"tội, tội lỗi","Anh ấy đã hoàn toàn không làm điều gì sai cả, tội lớn nhất của anh ấy là ngồi gần lối thoát hiểm.","He had done absolutely nothing wrong, his biggest crime was to sit near the fire exit. ",彼は何も悪いことはしていない。非常口の近くに座っていたのは、最大の罪だった。,"Neudělal absolutně nic špatného, ​​jeho největším zločinem bylo sedět poblíž požárního východu. ",他最大的罪行就是坐在逃生出口旁，但在那之前他絕對什麼也沒做錯。
eventive uses,attitudinal uses,fault,過失、責任,,,,,,,,
eventive uses,attitudinal uses,error,錯誤、失誤,,,,,,,,
eventive uses,attitudinal uses,sin,罪行,,,,,,,,
eventive uses,attitudinal uses,offence,罪行,,,,,,,,
eventive uses,attitudinal uses,folly,愚蠢,,,,,,,,
circumstantial uses,general uses,situation,處境、情況,状況,situaci,tình huống,Chúng ta có thể ở trong một tình huống khá thú vị khi mà chúng ta có thể chứng minh bất cứ điều gì mình mặc định.,We would be in the rather interesting situation that we could prove anything we please to postulate. ,私たちは、仮定したいことを何でも証明することができるという、かなり興味深い状況にあるかもしれない。,"Byli bychom v docela zajímavé situaci, že bychom mohli dokázat cokoli, co předpokládáme. ",我們可能會處於一個頗有趣的情況，那就是我們可以證明一切我們想提出的假設。
circumstantial uses,general uses,context,背景、環境,,,,,,,,
circumstantial uses,general uses,position,處境、情況、立場,,,,,,,,
circumstantial uses,specific uses,place,地方、地點、場所,場所,mistě,"nơi, chỗ","Một trong những biểu tượng mạnh mẽ nhất của Chiến tranh Lạnh - trạm kiểm soát Charlie xuyên biên giới tại Bức tường Berlin - đã bị dỡ bỏ. Bức tường tọa lạc ngay ở trung tâm của Berlin trong suốt 29 năm, nơi mà xe tăng của Liên Xô và Mỹ đối đầu nhau sau khi Bức tường Berlin được xây dựng vào năm 1961.","One of the most potent symbols of the Cold War – the Checkpoint Charlie border crossing at the Berlin Wall – has been dismantled. For twenty-nine years, it stood at the heart of Berlin, at the place where Soviet and American tanks confronted each other after the Berlin Wall went up in 1961.",冷戦の最も強力なシンボルのひとつである、ベルリンの壁のチェックポイント・チャーリーが解体されました。1961年にベルリンの壁が崩壊した後、ソ連とアメリカの戦車が対峙した場所で、29年間にわたってベルリンの中心に位置していた。,"Jeden z nejmocnějších symbolů studené války - hraniční přechod Checkpoint Charlie na berlínské zdi - byl stržen. Dvacet devět let stál v samém srdci Berlína na místě, kde po postavení berlínské zdi v roce 1961 proti sobě stály sovětské a americké tanky.",冷戰時期最有力的象徵之一，在柏林圍牆的查理檢查哨，已經被拆除。在過去的二十九年，它矗立在柏林的中心，這裡也是1961年建了柏林圍牆後，蘇聯和美國的坦克車對峙的地方。
